customer_id,employee_id,product_id,purchase_date,purchase_id,quantity,total_price
81,74,6,"""2024-04-20 11:38:17""",347,3,150.0
90,13,10,"""2024-04-09 02:21:13""",350,2,600.0
97,87,7,"""2024-04-13 05:14:26""",357,3,360.0
83,40,5,"""2024-04-29 02:31:38""",361,3,600.0
52,37,10,"""2024-04-12 03:46:44""",368,2,600.0
39,19,2,"""2024-04-20 00:03:56""",372,2,1600.0
26,8,2,"""2024-04-27 11:57:38""",381,2,1600.0
53,88,2,"""2024-04-09 23:51:20""",390,2,1600.0
75,93,4,"""2024-04-08 11:17:20""",410,1,500.0
62,75,3,"""2024-04-10 08:34:32""",414,1,150.0
