customer_id,employee_id,product_id,purchase_date,purchase_id,quantity,total_price
4,4,4,"""2024-02-02 14:00:00""",124,3,1500.0
19,1,9,"""2024-02-10 11:30:00""",139,10,4000.0
45,21,5,"""2024-02-23 10:25:00""",165,4,800.0
46,22,6,"""2024-02-23 14:20:00""",166,2,400.0
48,24,8,"""2024-02-24 16:00:00""",168,3,270.0
58,34,8,"""2024-02-29 09:00:00""",178,4,360.0
5,1,10,"""2024-02-29 16:20:00""",190,15,4500.0
30,4,3,"""2024-02-29 21:50:00""",193,10,1500.0
53,47,1,"""2024-02-23 06:45:49""",198,5,6000.0
90,13,10,"""2024-02-09 02:21:13""",199,2,600.0
52,37,10,"""2024-02-12 03:46:44""",217,2,600.0
40,89,4,"""2024-02-10 22:36:14""",232,1,500.0
7,5,10,"""2024-02-04 14:27:50""",244,2,600.0
50,33,8,"""2024-02-15 05:04:20""",249,4,360.0
11,2,2,"""2024-02-25 00:38:44""",257,2,1600.0
18,21,5,"""2024-02-04 01:53:50""",264,3,600.0
49,58,8,"""2024-02-02 05:51:44""",267,4,360.0
