customer_id,employee_id,product_id,purchase_date,purchase_id,quantity,total_price
81,74,6,2024-06-20 11:38:17,499,3,150.0
46,82,7,2024-06-01 17:51:21,500,4,480.0
53,47,1,2024-06-23 06:45:49,501,5,6000.0
90,13,10,2024-06-09 02:21:13,502,2,600.0
67,58,3,2024-06-16 21:08:38,503,1,150.0
29,34,9,2024-06-28 07:57:14/,505,5,2000.0
75,70,2,2024-06-15 01:16:32,506,2,1600.0
42,15,8,2024-06-02 18:35:50,507,4,360.0
8,51,4,2024-06-25 11:55:08,508,1,500.0
97,87,7,2024-06-13 05:14:26,509,3,360.0
64,28,1,2024-06-07 22:33:44,510,5,6000.0
19,64,10,2024-06-21 15:53:02,511,2,600.0
36,4,3,2024-06-05 09:12:20,512,1,150.0
83,40,5,2024-06-29 02:31:38,513,3,600.0
50,85,9,2024-06-18 19:50:56,514,5,2000.0
7,21,2,2024-06-03 13:10:14,515,2,1600.0
24,66,8,2024-06-26 06:29:32,516,4,360.0
71,11,4,2024-06-14 23:48:50,517,1,500.0
85,92,1,2024-06-24 10:27:26,519,5,6000.0
52,37,10,2024-06-12 03:46:44,520,2,600.0
8,3,3,2024-06-08 21:06:02,521,1,150.0
25,48,5,2024-06-22 14:25:20,522,3,600.0
72,84,9,2024-06-06 07:44:38,523,5,2000.0
39,19,2,2024-06-20 00:03:56,524,2,1600.0
5,65,8,2024-06-04 17:23:14/,525,4,360.0
98,10,4,2024-06-28 10:42:32,526,1,500.0
65,56,7,2024-06-17 04:01:50,527,3,360.0
21,91,1,2024-06-11 21:21:08,528,5,6000.0
84,72,3,2024-06-29 07:59:44,530,1,150.0
51,17,5,2024-06-19 01:19:02,531,3,600.0
26,8,2,2024-06-27 11:57:38,533,2,1600.0
73,44,8,2024-06-16 05:16:56,534,4,360.0
40,89,4,2024-06-10 22:36:14/,535,1,500.0
6,35,7,2024-06-04 15:55:32,536,3,360.0
100,71,1,2024-06-28 09:14:50,537,5,6000.0
66,16,10,2024-06-18 02:34:08,538,2,600.0
23,62,3,2024-06-02 19:53:26,539,1,150.0
39,7,5,2024-06-26 13:12:44,540,3,600.0
86,43,9,2024-06-15 06:32:02,541,5,2000.0
53,88,2,2024-06-09 23:51:20,542,2,1600.0
10,33,8,2024-06-03 17:10:38,543,4,360.0
27,79,4,2024-06-27 10:29:56/,544,1,500.0
74,24,7,2024-06-16 03:49:14/,545,3,360.0
41,60,1,2024-06-10 21:08:32/,546,5,6000.0
7,5,10,2024-06-04 14:27:50,547,2,600.0
23,51,3,2024-06-28 07:47:08,548,1,150.0
70,96,5,2024-06-18 01:06:26,549,3,600.0
37,42,9,2024-06-02 18:25:44,550,5,2000.0
83,87,2,2024-06-26 11:45:02,551,2,1600.0
50,33,8,2024-06-15 05:04:20,552,4,360.0
6,78,4,2024-06-09 22:23:38,553,1,500.0
100,29,7,2024-06-03 15:42:56,554,3,360.0
67,74,1,2024-06-27 09:02:14,555,5,6000.0
24,20,10,2024-06-17 02:21:32,556,2,600.0
40,65,3,2024-06-11 19:40:50,557,1,150.0
87,11,5,2024-06-05 13:00:08,558,3,600.0
54,57,9,2024-06-01 06:19:26,559,5,2000.0
11,2,2,2024-06-25 00:38:44,560,2,1600.0
28,48,8,2024-06-14 17:58:02,561,4,360.0
75,93,4,2024-06-08 11:17:20/,562,1,500.0
42,39,7,2024-06-02 04:36:38,563,3,360.0
8,84,1,2024-06-26 21:55:56,564,5,6000.0
62,75,3,2024-06-10 08:34:32,566,1,150.0
18,21,5,2024-06-04 01:53:50,567,3,600.0
35,67,9,2024-06-28 19:13:08,568,5,2000.0
82,12,2,2024-06-18 12:32:26,569,2,1600.0
49,58,8,2024-06-02 05:51:44,570,4,360.0
4,3,4,2024-06-26 23:11:02,571,1,500.0
96,49,7,2024-06-16 16:30:20,572,3,360.0
63,94,1,2024-06-10 09:49:38/,573,5,6000.0
20,40,10,2024-06-04 03:09:56,574,2,600.0
