customer_id,employee_id,product_id,purchase_date,purchase_id,quantity,total_price
81,74,6,2024-11-20 11:38:17,871,3,150.0
46,82,7,2024-11-01 17:51:21,872,4,480.0
53,47,1,2024-11-23 06:45:49,873,5,6000.0
90,13,10,2024-11-09 02:21:13,874,2,600.0
67,58,3,2024-11-16 21:08:38,875,1,150.0
12,99,5,2024-11-04 14:37:56,876,3,600.0
29,34,9,2024-11-28 07:57:14,877,5,2000.0
75,70,2,2024-11-15 01:16:32,878,2,1600.0
8,51,4,2024-11-25 11:55:08,880,1,500.0
97,87,7,2024-11-13 05:14:26,881,3,360.0
64,28,1,2024-11-07 22:33:44,882,5,6000.0
19,64,10,2024-11-21 15:53:02,883,2,600.0
36,4,3,2024-11-05 09:12:20,884,1,150.0
83,40,5,2024-11-29 02:31:38,885,3,600.0
7,21,2,2024-11-03 13:10:14,887,2,1600.0
24,66,8,2024-11-26 06:29:32/,888,4,360.0
71,11,4,2024-11-14 23:48:50/,889,1,500.0
38,57,7,2024-11-01 17:08:08,890,3,360.0
85,92,1,2024-11-24 10:27:26,891,5,6000.0
52,37,10,2024-11-12 03:46:44,892,2,600.0
8,3,3,2024-11-08 21:06:02,893,1,150.0
25,48,5,2024-11-22 14:25:20,894,3,600.0
72,84,9,2024-11-06 07:44:38,895,5,2000.0
39,19,2,2024-11-20 00:03:56,896,2,1600.0
5,65,8,2024-11-04 17:23:14,897,4,360.0
65,56,7,2024-11-17 04:01:50,899,3,360.0
21,91,1,2024-11-11 21:21:08,900,5,6000.0
37,36,10,2024-11-05 14:40:26/,901,2,600.0
51,17,5,2024-11-19 01:19:02,903,3,600.0
9,63,9,2024-11-03 18:38:20,904,5,2000.0
26,8,2,2024-11-27 11:57:38,905,2,1600.0
73,44,8,2024-11-16 05:16:56,906,4,360.0
6,35,7,2024-11-04 15:55:32,908,3,360.0
100,71,1,2024-11-28 09:14:50,909,5,6000.0
66,16,10,2024-11-18 02:34:08,910,2,600.0
23,62,3,2024-11-02 19:53:26,911,1,150.0
39,7,5,2024-11-26 13:12:44,912,3,600.0
86,43,9,2024-11-15 06:32:02,913,5,2000.0
53,88,2,2024-11-09 23:51:20,914,2,1600.0
10,33,8,2024-11-03 17:10:38,915,4,360.0
74,24,7,2024-11-16 03:49:14,917,3,360.0
41,60,1,2024-11-10 21:08:32/,918,5,6000.0
7,5,10,2024-11-04 14:27:50,919,2,600.0
23,51,3,2024-11-28 07:47:08,920,1,150.0
70,96,5,2024-11-18 01:06:26,921,3,600.0
37,42,9,2024-11-02 18:25:44/,922,5,2000.0
83,87,2,2024-11-26 11:45:02,923,2,1600.0
50,33,8,2024-11-15 05:04:20,924,4,360.0
6,78,4,2024-11-09 22:23:38,925,1,500.0
67,74,1,2024-11-27 09:02:14,927,5,6000.0
24,20,10,2024-11-17 02:21:32,928,2,600.0
40,65,3,2024-11-11 19:40:50,929,1,150.0
87,11,5,2024-11-05 13:00:08,930,3,600.0
54,57,9,2024-11-01 06:19:26,931,5,2000.0
11,2,2,2024-11-25 00:38:44,932,2,1600.0
28,48,8,2024-11-14 17:58:02,933,4,360.0
42,39,7,2024-11-02 04:36:38,935,3,360.0
8,84,1,2024-11-26 21:55:56,936,5,6000.0
95,30,10,2024-11-16 15:15:14,937,2,600.0
62,75,3,2024-11-10 08:34:32,938,1,150.0
18,21,5,2024-11-04 01:53:50,939,3,600.0
35,67,9,2024-11-28 19:13:08,940,5,2000.0
82,12,2,2024-11-18 12:32:26,941,2,1600.0
49,58,8,2024-11-02 05:51:44,942,4,360.0
4,3,4,2024-11-26 23:11:02,943,1,500.0
96,49,7,2024-11-16 16:30:20,944,3,360.0
63,94,1,2024-11-10 09:49:38/,945,5,6000.0
20,40,10,2024-11-04 03:09:56,946,2,600.0
